r,rr,status,trtype,t,MW
oWA,p53073,Possible,VSC,2010,100000
oOR_N,p41039,Possible,VSC,2010,100000
oOR_S,p41019,Possible,VSC,2010,100000
oCA_NNN,p06075,Possible,VSC,2010,100000
oCA_NN,p06075,Possible,VSC,2010,100000
oCA_N,p06075,Possible,VSC,2010,100000
oCA_S,p06075,Possible,VSC,2010,100000
oTX,p48039,Possible,VSC,2010,100000
oLA,p22051,Possible,VSC,2010,100000
oMS,p28047,Possible,VSC,2010,100000
oAL,p01097,Possible,VSC,2010,100000
oFL_W,p12057,Possible,VSC,2010,100000
oFL_E,p12086,Possible,VSC,2010,100000
oGA,p13051,Possible,VSC,2010,100000
oSC,p45019,Possible,VSC,2010,100000
oNC_S,p37129,Possible,VSC,2010,100000
oNC_N,p37129,Possible,VSC,2010,100000
oVA,p51810,Possible,VSC,2010,100000
oMD,p24047,Possible,VSC,2010,100000
oDE,p10005,Possible,VSC,2010,100000
oNJ,p34029,Possible,VSC,2010,100000
oNY,p36103,Possible,VSC,2010,100000
oCT,p09190,Possible,VSC,2010,100000
oRI,p44009,Possible,VSC,2010,100000
oMA,p25009,Possible,VSC,2010,100000
oNH,p33015,Possible,VSC,2010,100000
oME,p23005,Possible,VSC,2010,100000
